"日期","收盘","开盘","高","低","涨跌幅"
"2012年3月28日","0.9983","0.9956","1.0003","0.9945","0.30%"
"2012年3月27日","0.9953","0.9912","0.9958","0.9898","0.46%"
"2012年3月26日","0.9907","0.9982","1.0001","0.9903","-0.74%"
"2012年3月23日","0.9981","0.9990","1.0034","0.9970","-0.10%"
"2012年3月22日","0.9991","0.9925","1.0011","0.9912","0.71%"
"2012年3月21日","0.9921","0.9914","0.9936","0.9871","0.03%"
"2012年3月20日","0.9918","0.9873","0.9971","0.9868","0.50%"
"2012年3月19日","0.9869","0.9913","0.9932","0.9858","-0.50%"
"2012年3月16日","0.9919","0.9918","0.9941","0.9898","-0.01%"
"2012年3月15日","0.9920","0.9934","0.9950","0.9903","-0.08%"
"2012年3月14日","0.9928","0.9888","0.9945","0.9879","0.45%"
"2012年3月13日","0.9884","0.9928","0.9929","0.9879","-0.39%"
"2012年3月12日","0.9923","0.9904","0.9949","0.9897","0.12%"
"2012年3月9日","0.9911","0.9902","0.9938","0.9869","0.02%"
"2012年3月8日","0.9909","0.9979","0.9992","0.9891","-0.70%"
"2012年3月7日","0.9979","1.0013","1.0027","0.9972","-0.32%"
"2012年3月6日","1.0011","0.9942","1.0030","0.9935","0.65%"
"2012年3月5日","0.9946","0.9895","0.9963","0.9885","0.57%"
"2012年3月2日","0.9890","0.9854","0.9895","0.9847","0.31%"
"2012年3月1日","0.9859","0.9895","0.9905","0.9841","-0.36%"
"2012年2月29日","0.9895","0.9948","0.9959","0.9844","-0.51%"
"2012年2月28日","0.9946","0.9987","0.9995","0.9940","-0.44%"
"2012年2月27日","0.9990","0.9987","1.0050","0.9973","-0.08%"
"2012年2月24日","0.9998","0.9974","1.0005","0.9964","0.21%"
"2012年2月23日","0.9977","1.0000","1.0010","0.9950","-0.24%"
"2012年2月22日","1.0001","0.9965","1.0020","0.9951","0.34%"
"2012年2月21日","0.9967","0.9934","0.9977","0.9922","0.29%"
"2012年2月20日","0.9938","0.9934","0.9944","0.9905","-0.21%"
"2012年2月17日","0.9959","0.9970","0.9985","0.9939","-0.05%"
"2012年2月16日","0.9964","0.9997","1.0053","0.9951","-0.28%"
"2012年2月15日","0.9992","0.9991","1.0005","0.9936","0.02%"
"2012年2月14日","0.9990","0.9995","1.0027","0.9978","-0.04%"
"2012年2月13日","0.9994","1.0007","1.0018","0.9971","-0.29%"
"2012年2月10日","1.0023","0.9948","1.0040","0.9941","0.72%"
"2012年2月9日","0.9951","0.9961","0.9981","0.9924","-0.10%"
"2012年2月8日","0.9961","0.9947","0.9991","0.9932","0.16%"
"2012年2月7日","0.9945","0.9956","0.9995","0.9937","-0.11%"
"2012年2月6日","0.9956","0.9945","0.9995","0.9927","0.25%"
"2012年2月3日","0.9931","0.9991","1.0035","0.9925","-0.61%"
"2012年2月2日","0.9992","0.9984","1.0010","0.9964","0.03%"
"2012年2月1日","0.9989","1.0025","1.0049","0.9961","-0.40%"
"2012年1月31日","1.0029","1.0018","1.0056","0.9965","0.06%"
"2012年1月30日","1.0023","1.0015","1.0071","1.0008","0.13%"
"2012年1月27日","1.0010","1.0018","1.0043","0.9986","-0.07%"
"2012年1月26日","1.0017","1.0047","1.0051","0.9981","-0.25%"
"2012年1月25日","1.0042","1.0095","1.0149","1.0027","-0.58%"
"2012年1月24日","1.0101","1.0080","1.0145","1.0072","0.25%"
"2012年1月23日","1.0076","1.0143","1.0164","1.0050","-0.53%"
"2012年1月20日","1.0130","1.0114","1.0160","1.0105","0.16%"
"2012年1月19日","1.0114","1.0116","1.0130","1.0071","-0.03%"
"2012年1月18日","1.0117","1.0159","1.0180","1.0111","-0.33%"
"2012年1月17日","1.0151","1.0178","1.0189","1.0111","-0.29%"
"2012年1月16日","1.0181","1.0244","1.0253","1.0162","-0.43%"
"2012年1月13日","1.0225","1.0187","1.0284","1.0162","0.41%"
"2012年1月12日","1.0183","1.0191","1.0210","1.0137","-0.09%"
"2012年1月11日","1.0192","1.0163","1.0212","1.0138","0.22%"
"2012年1月10日","1.0170","1.0234","1.0242","1.0151","-0.64%"
"2012年1月9日","1.0236","1.0285","1.0321","1.0225","-0.35%"
"2012年1月6日","1.0272","1.0192","1.0273","1.0169","0.73%"
"2012年1月5日","1.0198","1.0124","1.0225","1.0120","0.70%"
"2012年1月4日","1.0127","1.0112","1.0165","1.0105","0.17%"
"2012年1月3日","1.0110","1.0187","1.0196","1.0073","-0.84%"
"2012年1月2日","1.0196","1.0208","1.0215","1.0177","0.00%"
"2011年12月30日","1.0196","1.0204","1.0223","1.0156","-0.12%"
"2011年12月29日","1.0208","1.0247","1.0271","1.0203","-0.35%"
"2011年12月28日","1.0244","1.0183","1.0253","1.0124","0.54%"
"2011年12月27日","1.0189","1.0202","1.0217","1.0175","-0.12%"
"2011年12月26日","1.0201","1.0211","1.0235","1.0179","0.03%"
"2011年12月23日","1.0198","1.0209","1.0218","1.0180","-0.12%"
"2011年12月22日","1.0210","1.0267","1.0282","1.0198","-0.55%"
"2011年12月21日","1.0266","1.0299","1.0310","1.0208","-0.36%"
"2011年12月20日","1.0303","1.0379","1.0389","1.0261","-0.73%"
"2011年12月19日","1.0379","1.0365","1.0415","1.0331","0.00%"
"2011年12月16日","1.0379","1.0347","1.0408","1.0295","0.29%"
"2011年12月15日","1.0349","1.0393","1.0408","1.0320","-0.43%"
"2011年12月14日","1.0394","1.0337","1.0423","1.0324","0.53%"
"2011年12月13日","1.0339","1.0261","1.0349","1.0229","0.75%"
"2011年12月12日","1.0262","1.0192","1.0288","1.0184","0.76%"
"2011年12月9日","1.0185","1.0223","1.0263","1.0177","-0.35%"
"2011年12月8日","1.0221","1.0090","1.0236","1.0050","1.25%"
"2011年12月7日","1.0095","1.0099","1.0135","1.0066","-0.03%"
"2011年12月6日","1.0098","1.0176","1.0209","1.0086","-0.72%"
"2011年12月5日","1.0171","1.0162","1.0195","1.0120","-0.10%"
"2011年12月2日","1.0181","1.0141","1.0196","1.0078","0.39%"
"2011年12月1日","1.0141","1.0189","1.0225","1.0135","-0.52%"
